Mezachester,Suburban,4/1/2019 0:02,24.4,8.95952E+12,,
Deanville,Urban,4/1/2019 0:11,22.65,7.00278E+12,,
North Barbara,Urban,4/1/2019 0:20,31.72,9.78616E+12,,
Carriemouth,Urban,4/1/2019 0:35,27.84,6.58983E+12,,
Loganberg,Urban,4/1/2019 1:06,8.23,6.78729E+11,,
Lake Robertside,Suburban,4/1/2019 3:17,28.07,1.6774E+12,,
Josephside,Suburban,4/1/2019 3:46,23.73,6.1245E+12,,
Simpsonburgh,Urban,4/1/2019 4:02,25.65,2.86964E+12,,
North Jasmine,Urban,4/1/2019 4:31,28.04,5.01238E+12,,
New Kimberlyborough,Urban,4/1/2019 4:31,35.11,8.27582E+12,,
Hurleymouth,Urban,4/1/2019 6:26,9.94,4.06343E+12,,
Amandaburgh,Urban,4/1/2019 9:24,24.29,1.99546E+12,,
Rogerston,Urban,4/1/2019 9:27,28.54,9.9631E+12,,
South Jennifer,Rural,4/1/2019 9:32,21.63,9.13598E+12,,
New Kimberlyborough,Urban,4/1/2019 12:09,10.76,9.12831E+12,,
Newtonview,Rural,4/1/2019 13:39,26.73,3.72353E+12,,
North Jason,Urban,4/1/2019 14:43,40.45,1.1017E+12,,
South Michelleport,Urban,4/1/2019 14:50,28.84,8.84609E+12,,
Taylorhaven,Rural,4/1/2019 16:37,54.65,9.09806E+12,,
Williamsstad,Urban,4/1/2019 17:37,16.83,1.5169E+12,,
Bethanyland,Suburban,4/1/2019 22:04,38.71,8.22108E+12,,
Justinberg,Urban,4/1/2019 23:46,40.87,8.95767E+12,,
East Marymouth,Suburban,4/2/2019 1:04,20,9.37293E+12,,
Veronicaberg,Suburban,4/2/2019 3:59,16.63,4.52806E+12,,
South Teresa,Suburban,4/2/2019 4:02,23.78,2.95848E+11,,
Bethanyland,Suburban,4/2/2019 4:29,34.38,1.78385E+12,,
Joneschester,Urban,4/2/2019 4:52,10.52,4.97037E+12,,
East Kaylahaven,Urban,4/2/2019 7:05,9.67,2.08846E+12,,
Lake Robertside,Suburban,4/2/2019 8:53,21.31,4.62757E+12,,
Taylorhaven,Rural,4/2/2019 9:17,47.07,8.57315E+12,,
South Jennifer,Rural,4/2/2019 10:26,14.11,3.82827E+12,,
Josephside,Suburban,4/2/2019 12:23,49.33,4.82647E+11,,
Port Frank,Urban,4/2/2019 15:48,13.55,4.84971E+12,,
West Hannah,Suburban,4/2/2019 16:29,33.41,3.05586E+11,,
Port David,Urban,4/2/2019 16:53,41.14,2.69444E+12,,
Liumouth,Urban,4/2/2019 16:53,25.56,9.54429E+12,,
Victoriaport,Suburban,4/2/2019 17:12,12.19,6.9883E+12,,
Leahton,Urban,4/2/2019 17:39,22.76,5.80873E+12,,
Karenside,Urban,4/2/2019 19:22,41.93,4.09361E+12,,
Barronchester,Suburban,4/2/2019 19:38,28.55,9.11268E+12,suburban cutoff week 1,
Lake Latoyabury,Rural,4/2/2019 21:00,13.46,8.23286E+12,rural cutoff week 1,
Lake Scottton,Urban,4/2/2019 21:10,43.2,3.92721E+12,,
Port Angela,Urban,4/2/2019 22:13,25.84,8.02244E+12,urban cut-off week 1,
Robertport,Urban,4/3/2019 1:20,15.14,6.66972E+12,,
West Anthony,Urban,4/3/2019 1:47,31.6,4.96533E+12,,
West Anthony,Urban,4/3/2019 2:42,10.56,3.76287E+12,,
West Heidi,Urban,4/3/2019 3:16,24.76,1.82023E+12,,
Lake Robertside,Suburban,4/3/2019 3:27,12.76,1.30176E+12,,
Pattyland,Urban,4/3/2019 3:29,14.06,5.39901E+12,,
New Kimberlyborough,Urban,4/3/2019 3:36,43.07,5.60378E+12,,
Taylorhaven,Rural,4/3/2019 5:41,38.92,8.30045E+12,,
Huntermouth,Urban,4/3/2019 7:02,29.88,8.96762E+12,,
